sample_id,planet,component,local_value_virupa,external_value_virupa,signed_delta_virupa,absolute_delta_virupa,tolerance_virupa,pass_fail,external_source
case_127_sr_touch_start,MARS,drik,-3.500000000,-3.490000000,-0.010000000,0.010000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MARS,kaala,184.270845126,162.660000000,21.610845126,21.610845126,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MARS,naisargika,17.140000000,17.140000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MARS,sthana,123.487445565,172.990000000,-49.502554435,49.502554435,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MERCURY,chesta,45.000000000,3.890000000,41.110000000,41.110000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MERCURY,dig,39.988613570,39.980000000,0.008613570,0.008613570,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MERCURY,drik,-16.320000000,-16.320000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MERCURY,kaala,124.228024927,214.980000000,-90.751975073,90.751975073,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MERCURY,naisargika,25.710000000,25.710000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MERCURY,sthana,189.329068310,191.830000000,-2.500931690,2.500931690,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MOON,chesta,14.512199108,0.000000000,14.512199108,14.512199108,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MOON,dig,58.680574296,61.320000000,-2.639425704,2.639425704,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MOON,drik,-16.630000000,-16.630000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MOON,kaala,125.462099108,60.220000000,65.242099108,65.242099108,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MOON,naisargika,51.430000000,51.430000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,MOON,sthana,248.801388858,273.800000000,-24.998611142,24.998611142,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SATURN,chesta,30.000000000,97.960000000,-67.960000000,67.960000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SATURN,dig,1.820007180,1.820000000,0.000007180,0.000007180,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SATURN,drik,-8.220000000,-8.230000000,0.010000000,0.010000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SATURN,kaala,150.966489408,113.590000000,37.376489408,37.376489408,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SATURN,naisargika,8.570000000,8.570000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SATURN,sthana,224.168991966,171.670000000,52.498991966,52.498991966,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SUN,chesta,113.939558200,0.000000000,113.939558200,113.939558200,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SUN,dig,8.575525258,8.570000000,0.005525258,0.005525258,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SUN,drik,-16.320000000,-16.320000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SUN,kaala,175.733558646,197.300000000,-21.566441354,21.566441354,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SUN,naisargika,60.000000000,60.000000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,SUN,sthana,137.390821745,142.140000000,-4.749178255,4.749178255,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,VENUS,chesta,30.000000000,22.490000000,7.510000000,7.510000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,VENUS,dig,36.155638106,36.160000000,-0.004361894,0.004361894,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,VENUS,drik,-5.560000000,-5.560000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,VENUS,kaala,114.647299610,175.700000000,-61.052700390,61.052700390,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_127_sr_touch_start,VENUS,naisargika,42.860000000,42.860000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
